1001, 5.4, 3.4
1002, 5.6, 3.8
1003, 6.2, 4.2
1004, 5.4, 4.2
1005, 5.8, 4
1006, 6.4, 4.2
1007, 5.6, 3.6
1008, 5.4, 3.8
1009, 6.4, 5
1010, 6.2, 4.2
1011, 6.4, 4.4
1012, 5.8, 4.2
1013, 5.6, 3.6
1014, 6, 5.6
1015, 6.2, 3.8
1016, 5.4, 3.2
1017, 6.2, 5.4
1018, 6.2, 4.6
1019, 6.8, 4.8
1020, 5.4, 4.2
1021, 5, 3.8
1022, 5.8, 4.6
1023, 4.8, 3.4
1024, 5, 4
1025, 5.8, 4
1026, 6.2, 4.4
1027, 5.8, 4
1028, 6.2, 4.2
1029, 6.8, 5.8
1030, 5.6, 4.6
1031, 6.4, 5
1032, 6, 4.2
1033, 5.4, 2.8
1034, 5.4, 3.8
1035, 6, 3.4
1036, 5.8, 5
1037, 5.6, 3.2
1038, 5.8, 5
1039, 4.6, 3.6
1040, 5.6, 5.6
1041, 5, 4.2
1042, 5, 3.6
1043, 4.6, 3.8
1044, 6, 4
1045, 5, 3.2
1046, 5.8, 5.4
1047, 5.6, 4.2
1048, 5, 5.4
1049, 5.6, 3.2
1050, 6.2, 5.4
1051, 5.6, 2.8
1052, 5.6, 3.4
1053, 5.2, 4.2
1054, 6, 4.8
1055, 5.8, 3.2
1056, 5.6, 3.8
1057, 5.4, 3.2
1058, 6, 3.4
1059, 6.2, 5.2
1060, 5.8, 4.2
1061, 5.8, 3.4
1062, 5.2, 3.8
1063, 5.4, 3.8
1064, 5.6, 4.2
1065, 5.2, 3
1066, 6.8, 4.2
1067, 5, 3.8
1068, 6.2, 4.4
1069, 5.6, 3.8
1070, 6.6, 4
1071, 5.2, 3.4
1072, 5, 3.4
1073, 6.2, 3.4
1074, 5.4, 3.6
1075, 5.4, 3.6
1076, 5.8, 4
1077, 5.8, 4.4
1078, 5.6, 4
1079, 5.4, 3.4
1080, 5.2, 3.6
1081, 5.8, 3.6
1082, 5.6, 4.2
1083, 5.8, 5
1084, 5.2, 4.2
1085, 5.6, 3
1086, 5.6, 3.2
1087, 6.4, 5
1088, 5.6, 3.2
1089, 5.2, 2.4
1090, 5.8, 3.4
1091, 5.8, 4
1092, 6.6, 4.6
1093, 4.8, 5
1094, 6.2, 4.4
1095, 5.8, 4.8
1096, 6.6, 4.8
1097, 5.6, 3.4
1098, 5.2, 4
1099, 6.4, 4.2
1100, 6.2, 4.4
1101, 5.6, 3.2
1102, 5.4, 3.4
1103, 4.4, 4
1104, 6.6, 4
1105, 5.2, 3.2
1106, 4.8, 3.4
1107, 5.4, 3.2
1108, 6.4, 4.6
1109, 5.8, 3.4
1110, 5.4, 3.2
1111, 6.2, 4.6
1112, 6.2, 5.6
1113, 5.8, 4.4
1114, 6, 3.6
1115, 6, 4.6
1116, 5.2, 3
1117, 6.2, 4.6
1118, 5.4, 3.6
1119, 5.4, 2.8
1120, 5.4, 3.2
1121, 5.4, 3.2
1122, 6, 3.8
1123, 5.4, 2.8
1124, 6.2, 4.4
1125, 6.4, 4
1126, 6.2, 3.8
1127, 5.2, 2.8
1128, 6, 3.4
1129, 5.6, 3.8
1130, 5.2, 3.6
1131, 6, 3.8
1132, 7.4, 5
1133, 5.2, 3
1134, 5, 3.2
1135, 5.4, 3.4
1136, 5.6, 3.2
1137, 5.8, 4.4
1138, 5, 3
1139, 4.2, 3.2
1140, 5.2, 3.6
1141, 5.4, 4.4
1142, 4.2, 4.4
1143, 4.8, 4.2
1144, 4.6, 4.2
1145, 5, 5
1146, 5.8, 3.4
1147, 6, 3.6
1148, 6.4, 4.8
1149, 4, 4.4
1150, 4, 4.4
1151, 5.2, 2.8
1152, 5.8, 3.2
1153, 5.6, 3.2
1154, 6.2, 5.4
1155, 5.2, 3.8
1156, 5, 6.2
1157, 5, 3.6
1158, 6, 4.2
1159, 5, 3.8
1160, 5.6, 4
1161, 6.6, 4.2
1162, 6.2, 3.4
1163, 5.2, 5.4
1164, 6.2, 4.4
1165, 5.6, 3.4
1166, 6.4, 4.4
1167, 5.2, 4
1168, 5.2, 5.6
1169, 5.6, 3.8
1170, 5.8, 4.6
1171, 6, 3.4
1172, 5.4, 4
1173, 6.2, 4
1174, 5.2, 3.8
1175, 5.6, 3.6
1176, 6.2, 5.4
1177, 6.4, 4
1178, 6.6, 5.8
1179, 5.6, 4.2
1180, 5.2, 4.8
1181, 5.6, 4.6
1182, 6, 5
1183, 5.4, 3
1184, 5.2, 3
1185, 5.2, 4.2
1186, 5.6, 3.6
1187, 5.8, 3.4
1188, 4.6, 3.6
1189, 5.4, 4.6
1190, 7, 5.8
1191, 5.2, 4.2
1192, 6.2, 4.2
1193, 6.8, 5.8
1194, 5.4, 2.8
1195, 4.8, 4.8
1196, 5.6, 5
1197, 5.8, 4.2
1198, 6, 4.2
1199, 6, 3.8
1200, 5.6, 3.8
1201, 6.4, 5.2
1202, 5.2, 4.8
1203, 7, 4.8
1204, 5.2, 3.2
1205, 5.4, 3.8
1206, 6.2, 4.8
1207, 6.4, 4
1208, 5.2, 3.6
1209, 6, 3
1210, 5.2, 3.6
1211, 6, 5.2
1212, 5.4, 3.8
1213, 4.6, 4.4
1214, 6, 5
1215, 5.4, 4
1216, 5.2, 3
1217, 5.2, 3.2
1218, 5.6, 3.6
1219, 6.6, 4.6
1220, 5.6, 4
1221, 5, 3.2
1222, 5, 3.8
1223, 5.2, 3.6
1224, 5.2, 3
1225, 6.4, 4
1226, 4.8, 3.8
1227, 6, 4
1228, 5.4, 3.4
1229, 5.4, 3.4
1230, 5.6, 3.4
1231, 5.8, 3.4
1232, 5.8, 3.8
1233, 5.2, 3.6
1234, 5.4, 4.2
1235, 5.4, 3.8
1236, 4.8, 4
1237, 5.2, 3.8
1238, 5.2, 4.4
1239, 6, 4.2
1240, 6.2, 4.6
1241, 7.2, 4.4
1242, 6.4, 4.2
1243, 4.8, 3.6
1244, 5, 3.2
1245, 5, 3.4
1246, 5.2, 4
1247, 5.4, 4.6
1248, 5.6, 4.6
1249, 6.2, 4
1250, 5.2, 3.4
1251, 5.2, 3.2
1252, 4.4, 3.8
1253, 5.6, 3.2
1254, 4.6, 3.8
1255, 6, 3.4
1256, 6.6, 3.8
1257, 6.6, 3.8
1258, 5.2, 3.8
1259, 5, 4
1260, 5.8, 3.8
1261, 5.2, 3.6
1262, 6, 4.6
1263, 5.2, 3.2
1264, 5.6, 4.2
1265, 6, 3.8
1266, 5, 3
1267, 5.2, 2.8
1268, 5.8, 4.2
1269, 5.2, 4
1270, 5.6, 3.6
1271, 6.2, 4.6
